title,author_name,author_url,publication_date,description,category,image_url,url,country,content_preview,extractor,lang,content,source
Iron Biby console le Burkina Faso de l’absence de médaille olympique,,,2024-01-10,"De nouveau consacré « homme le plus fort du monde » au World Log Lift Challenge, le Burkinabè Cheick Ahmed Al-Hassan Sanou s’est offert le luxe de battre son précédent record personnel.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/09/iron_biby_record_septembre_2024_lr.jpg",https://www.jeuneafrique.com/1606766/societe/iron-biby-console-le-burkina-faso-de-labsence-de-medaille-olympique/,burkina faso,,jeuneafrique,fr,,
"Cesária Évora, la diva aux pieds nus comme rarement vue",,,,"Dans un documentaire truffé d’images d’archives personnelles et inédites, la réalisatrice portugaise Ana Sofia Fonseca brosse le portrait intime de celle qui a inscrit le Cap-Vert sur la carte du monde.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.3249x0.2825/https://prod.cdn-medias.jeuneafrique.com/medias/2023/11/29/jad20231129-cm-cap-vert-cesaria-evora-01.jpg",https://www.jeuneafrique.com/1509536/culture/cesaria-evora-la-diva-aux-pieds-nus-comme-rarement-vue/,cabo verde,,jeuneafrique,fr,,
"En Côte d’Ivoire, la Fesci sur la sellette après le meurtre d’un étudiant",,,2024-01-03,"La mort d’un membre du plus grand syndicat étudiant de Côte d’Ivoire, en conflit avec son secrétaire général, relance le débat sur l’avenir de cette organisation aussi influente que controversée. Le gouvernement a été contraint de prendre des mesures drastiques.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/10/03/jad20241003-ass-civ-meurtre-etudiant-abidjan-1.jpg",https://www.jeuneafrique.com/1616197/politique/en-cote-divoire-la-fesci-sur-la-sellette-apres-le-meurtre-dun-etudiant/,guinea-bissau,,jeuneafrique,fr,,
"Pour la compagnie aérienne Asky, la liaison Lomé-Paris est imminente",,,2024-01-25,"La compagnie aérienne basée au Togo s’affaire à inaugurer la ligne Lomé-Paris. Une destination hors Afrique qui interviendra dans un climat d’augmentation de la desserte avec Lomé-Pointe-Noire, le 2 octobre prochain.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2023/08/21/jad20230821-eco-togo-aviation-asky.jpg",https://www.jeuneafrique.com/1592500/economie-entreprises/pour-la-compagnie-aerienne-asky-la-liaison-lome-paris-est-imminente/,togo,,jeuneafrique,fr,,
"Guy Marius Sagna se fait agresser au Togo, le Sénégal proteste",,,2024-01-30,"Dakar a condamné, lundi 30 septembre, l’agression d’un de ses députés lors d’une réunion de l’opposition au Togo, et réclamé une enquête.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5932x0.4027/https://prod.cdn-medias.jeuneafrique.com/medias/2024/07/23/jad20240723-ass-cedeao-altercation-civ-senegal-2.png",https://www.jeuneafrique.com/1615242/politique/guy-marius-sagna-se-fait-agresser-au-togo-le-senegal-proteste/,cameroon,,jeuneafrique,fr,,
Centrafrique-Tchad : dans les coulisses du rapprochement entre Touadéra et Déby Itno,,,2024-01-04,"Le 22 mai, les deux pays ont célébré la réouverture officielle de leur frontière commune. Un rapprochement rendu possible par des proches du président centrafricain mais aussi par les alliés russes de Bangui.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/06/04/jad20240604-conf-centrafrique-tchad-rapprochement.jpg",https://www.jeuneafrique.com/1574179/politique/centrafrique-tchad-dans-les-coulisses-du-rapprochement-entre-touadera-et-deby-itno/,central african republic,,jeuneafrique,fr,,
William Ruto : « Je n’ai pas de sang sur les mains »,,,2024-01-01,"Lors d’une interview de deux heures à la télévision, le président kényan a affirmé que 19 personnes ont été tuées lors des manifestations antigouvernementales du 25 juin.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/07/01/ruto-kenya.jpg",https://www.jeuneafrique.com/1583182/politique/william-ruto-je-nai-pas-de-sang-sur-les-mains/,kenya,,jeuneafrique,fr,,
Matina Razafimahefa : « L’Afrique doit créer ses propres géants du numérique »,,,2024-01-15,"L’ACTU VUE PAR – La directrice générale de Sayna revient sur son parcours et les défis rencontrés actuellement pour développer l’éducation numérique en Afrique. De Madagascar à Paris, elle forme des milliers de jeunes aux compétences numériques et les aide à monétiser leurs connaissances pour transformer leur avenir.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/06/15/2.jpg",https://www.jeuneafrique.com/1577957/economie-entreprises/matina-razafimahefa-lafrique-doit-creer-ses-propres-geants-du-numerique/,madagascar,,jeuneafrique,fr,,
Ministres du Malawi : pas bouger !,,,2023-01-17,"Le chef de l’État malawite proscrit temporairement, à lui et ses ministres, tout voyage à l’étranger financé sur fonds publics. Un électrochoc pour plaire au FMI.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2023/11/17/jad20231117-ass-malawi-glez.jpg",https://www.jeuneafrique.com/1505572/politique/ministres-du-malawi-pas-bouger/,mauritius,,jeuneafrique,fr,,
Seychelles : le président James Michel réélu pour la troisième fois,,,,"Le président des Seychelles James Michel a été réélu pour la troisième fois, en devançant de très peu son adversaire Wavel Ramkalawan lors d’un second tour inédit pour un scrutin présidentiel dans l’archipel, a annoncé samedi la Commission électorale.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2015/12/19/2cf918748412abf6f676edb0b95a6fd0e06d0777.jpg",https://www.jeuneafrique.com/288209/politique/seychelles-le-president-james-michel-reelu-pour-la-troisieme-fois/,seychelles,,jeuneafrique,fr,,
