title,author_name,author_url,publication_date,description,category,image_url,url,country,content_preview,extractor,lang,content,source
Tebboune hires lobbyists with Republican and Israeli links,,,24th September 2024,"Losing diplomatic ground to Morocco over Western Sahara, Algiers is opening channels to conservative policymakers",,,https://www.africa-confidential.com/article/id/15161/Tebboune_hires_lobbyists_with_Republican_and_Israeli_links,ALGERIA,"Days after securing a second term with a Soviet-style 94.6% vote share, President Abdelmajid Tebboune has contracted a new K-Street lobbying firm to do his government’s bidd...",africa-confidential,en,,
Military-backed Tebboune gets a Stalin-esque landslide,,,10th September 2024,An historically low turnout and rising youth disaffection shows the spirit of the Hirak rebellion lives on,,,https://www.africa-confidential.com/article/id/15143/Military-backed_Tebboune_gets_a_Stalin-esque_landslide,ALGERIA,"Faced with the option of President Abdelmadjid Tebboune and two weak candidates designed to fluff up the president’s majority, most Algerians stayed at home rather than vote ...",africa-confidential,en,,
Emmanuel Macron’s Saharan mystery,,,31st July 2024,The recognition of Moroccan sovereignty over the disputed region comes after personal intervention by the French President,,,https://www.africa-confidential.com/article/id/15091/Emmanuel_Macron%e2%80%99s_Saharan_mystery,ALGERIA,The interim French government’s decision on 29 July to in effect recognise Moroccan sovereignty over the disputed Western Sahara is another victory for Rabat – followin...,africa-confidential,en,,
Tebboune seeks help,,,14th March 2024,,,,https://www.africa-confidential.com/article/id/14884/Tebboune_seeks_help,ALGERIA,President Abdelmadjid Tebboune had a positive result from his late predecessor's mixed legacy when he marked the run-up to the holy month of Ramadan by inaugurating the new Algiers...,africa-confidential,en,,
Tebboune prepares to see off challengers,,,4th January 2024,Strategic competition with Rabat over ties with Israel and the disputed Western Sahara keeps the region on edge,,,https://www.africa-confidential.com/article/id/14779/Tebboune_prepares_to_see_off_challengers,ALGERIA,"In the opaque world of Maghreb politics, mooted changes in the senior leaderships of Algeria and Morocco can send shockwaves across the region. But there is no sign that the econom...",africa-confidential,en,,
Moscow mounts a military show in the desert,,,22nd November 2022,President Tebboune's anti-terror mission with Russian forces unsettles Morocco and European governments ,,,https://www.africa-confidential.com/article/id/14205/Moscow_mounts_a_military_show_in_the_desert,ALGERIA,"Sending some important diplomatic signals, Algeria's joint anti-terrorist drills with Russian troops – known as Desert Shield 2022 – in the Bechar region near the borde...",africa-confidential,en,,
Economic crises and Palestine dominate Algiers' hosting of Arab League summit,,,8th November 2022,Calls for reform and better coordination thwarted by key policy differences between member states,,,https://www.africa-confidential.com/article/id/14188/Economic_crises_and_Palestine_dominate_Algiers%27_hosting_of_Arab_League_summit,ALGERIA,Algerian President Abdelmadjid Tebboune's hopes of resolving what he called the 'divergences and disagreements' at the Arab summit in Algiers on1-2 November were disappointed but h...,africa-confidential,en,,
A league of quarrelling neighbours,,,21st September 2022,Algerian officials have headed off Egypt's attempts to postpone the Arab League summit planned for November but ructions continue,,,https://www.africa-confidential.com/article/id/14111/A_league_of_quarrelling_neighbours,ALGERIA,Egypt's Foreign Minister Sameh Shoukry walked out of an Arab League ministerial meeting earlier this month upon learning that it would be chaired by Libyan foreign minister Najla M...,africa-confidential,en,,
Macron's multi-purpose stopover,,,25th August 2022,,,,https://www.africa-confidential.com/article/id/14080/Macron%27s_multi-purpose_stopover,ALGERIA,French President Emmanuel Macron's visit to Algiers on 25-26 August will be about more than gas deals. Paris may not be in as bad odour among Algeria's traditional nationalist lead...,africa-confidential,en,,
Madrid embroiled in zero-sum fight with Rabat and Algiers,,,14th June 2022,Prime Minister Pedro Sanchez has been shocked by the ferocious responses to his policy change on Western Sahara,,,https://www.africa-confidential.com/article/id/13992/Madrid_embroiled_in_zero-sum_fight_with_Rabat_and_Algiers,ALGERIA,"As Madrid rebuilds its diplomatic relations with Morocco in the wake of its latest row over Western Sahara, it is eroding its long-nurtured ties with Algiers. This has been reinfor...",africa-confidential,en,,
